group_id,plant_key_name,unit_key_name,type,name,power
44,富津火力発電所１号系列５軸,富津１ー５軸,41,1-5軸,16.7
44,富津火力発電所１号系列６軸,富津１ー６軸,41,1-6軸,16.7
44,富津火力発電所１号系列７軸,富津１ー７軸,41,1-7軸,16.5
45,富津火力発電所２号系列１軸,富津２ー１軸,42,2-1軸,16.2
45,富津火力発電所２号系列２軸,富津２ー２軸,42,2-2軸,16.2
45,富津火力発電所２号系列３軸,富津２ー３軸,42,2-3軸,16.2
45,富津火力発電所２号系列４軸,富津２ー４軸,42,2-4軸,16.2
45,富津火力発電所２号系列５軸,富津２ー５軸,42,2-5軸,16.2
45,富津火力発電所２号系列６軸,富津２ー６軸,42,2-6軸,16.2
45,富津火力発電所２号系列７軸,富津２ー７軸,42,2-7軸,16.2
46,富津火力発電所３号系列１軸,富津３ー１軸,42,3-1軸,38.0
46,富津火力発電所３号系列２軸,富津３ー２軸,42,3-2軸,38.0
46,富津火力発電所３号系列３軸,富津３ー３軸,42,3-3軸,38.0
46,富津火力発電所３号系列４軸,富津３ー４軸,42,3-4軸,38.0
46,富津火力発電所４号系列１軸,富津４ー１軸,43,4-1軸,50.7
46,富津火力発電所４号系列２軸,富津４ー２軸,43,4-2軸,50.7
46,富津火力発電所４号系列３軸,富津４ー３軸,43,4-3軸,50.7
47,千葉火力発電所１号系列１軸,千葉１ー１軸,42,1-1軸,36.0
47,千葉火力発電所１号系列２軸,千葉１ー２軸,42,1-2軸,36.0
47,千葉火力発電所１号系列３軸,千葉１ー３軸,42,1-3軸,36.0
47,千葉火力発電所１号系列４軸,千葉１ー４軸,42,1-4軸,36.0
47,千葉火力発電所２号系列１軸,千葉２ー１軸,42,2-1軸,36.0
47,千葉火力発電所２号系列２軸,千葉２ー２軸,42,2-2軸,36.0
47,千葉火力発電所２号系列３軸,千葉２ー３軸,42,2-3軸,36.0
47,千葉火力発電所２号系列４軸,千葉２ー４軸,42,2-4軸,36.0
48,千葉火力発電所３号系列１軸,千葉３ー１軸,43,3-1軸,50.0
48,千葉火力発電所３号系列２軸,千葉３ー２軸,43,3-2軸,50.0
48,千葉火力発電所３号系列３軸,千葉３ー３軸,43,3-3軸,50.0
49,横浜火力発電所7号系列２軸,横浜７ー２軸,42,7-2軸,37.7
49,横浜火力発電所7号系列３軸,横浜７ー３軸,42,7-3軸,37.7
49,横浜火力発電所7号系列４軸,横浜７ー４軸,42,7-4軸,37.7
49,横浜火力発電所７号系列１軸,横浜７ー１軸,42,7-1軸,37.7
49,横浜火力発電所８号系列１軸,横浜８ー１軸,42,8-1軸,37.7
49,横浜火力発電所８号系列２軸,横浜８ー２軸,42,8-2軸,37.7
49,横浜火力発電所８号系列３軸,横浜８ー３軸,42,8-3軸,37.7
49,横浜火力発電所８号系列４軸,横浜８ー４軸,42,8-4軸,37.7
50,上越火力発電所,１-１号機,42,1-1号機,59.5
50,上越火力発電所,１-２号機,42,1-2号機,59.5
50,上越火力発電所,２-１号機,42,2-1号機,59.5
50,上越火力発電所,２-２号機,42,2-2号機,59.5
51,鹿島火力発電所７号系列１軸,鹿島７ー１軸,42,7-1軸,42.0
51,鹿島火力発電所７号系列２軸,鹿島７ー２軸,42,7-2軸,42.0
51,鹿島火力発電所７号系列３軸,鹿島７ー３軸,42,7-3軸,42.0
52,真岡発電所,1号機,43,1号機,62.41
52,真岡発電所,2号機,43,2号機,62.41
53,扇島パワー,1,42,1号機,40.71
53,扇島パワー,2,42,2号機,40.71
53,扇島パワー,3,42,3号機,40.71
54,品川火力発電所１号系列１軸,品川１ー１軸,42,1-1軸,38.0
54,品川火力発電所１号系列２軸,品川１ー２軸,42,1-2軸,38.0
54,品川火力発電所１号系列３軸,品川１ー３軸,42,1-3軸,38.0
55,川崎天然ガス発電所,川天1号機,42,1号機,41.3
55,川崎天然ガス発電所,川天2号機,42,2号機,41.3
56,ＪＦＥスチール株式会社川鉄千葉クリーンパワーステーション,ＪＦＥ千葉ＩＰＰ,41,,46.61
57,袖ケ浦火力発電所１号機,袖ケ浦１号,40,1号機,60.0
57,袖ケ浦火力発電所２号機,袖ケ浦２号,40,2号機,100.0
57,袖ケ浦火力発電所３号機,袖ケ浦３号,40,3号機,100.0
57,袖ケ浦火力発電所４号機,袖ケ浦４号,40,4号機,100.0
58,東扇島火力発電所１号機,東扇島１号,40,１号機,100.0
58,東扇島火力発電所２号機,東扇島２号,40,２号機,100.0
59,南横浜火力発電所１号機,南横浜１号,40,1号機,35.0
