エリア,グループ名,発電所名,ユニット名,発電方式,凡例のユニット名,認可出力(万kW)
CHUBU,出光興産 出光愛知第3,出光愛知第3発電所,単独,OIL,,22.557
CHUBU,明海発電(株) 豊橋,豊橋発電所,単独,SUB_C,,14.7
CHUBU,中部電力 徳山,徳山発電所,１号機,HYDRO,1号機,13.9
CHUBU,関西電力 木曽,木曽発電所,単独,HYDRO,,11.6
CHUBU,電源開発 御母衣,電源開発御母衣発電所,1号機,HYDRO,1号機,10.75
CHUBU,電源開発 御母衣,電源開発御母衣発電所,2号機,HYDRO,2号機,10.75
CHUBU,中部電力 奥美濃,奥美濃発電所,１号機,PUMPED,1号機,25.0
CHUBU,中部電力 奥美濃,奥美濃発電所,２号機,PUMPED,2号機,25.0
CHUBU,中部電力 奥美濃,奥美濃発電所,３号機,PUMPED,3号機,25.0
CHUBU,中部電力 奥美濃,奥美濃発電所,４号機,PUMPED,4号機,25.0
CHUBU,中部電力 奥美濃,奥美濃発電所,５号機,PUMPED,5号機,25.0
CHUBU,中部電力 奥美濃,奥美濃発電所,６号機,PUMPED,6号機,25.0
CHUBU,中部電力 奥矢作,奥矢作発電所,第一発電所,PUMPED,第一,32.3
CHUBU,中部電力 奥矢作,奥矢作発電所,第二発電所,PUMPED,第二,78.0
CHUBU,電源開発 新豊根,電源開発新豊根発電所（中部）,1号機,HYBRID_PUMPED,1号機,22.5
CHUBU,電源開発 新豊根,電源開発新豊根発電所（中部）,2号機,HYBRID_PUMPED,2号機,22.5
CHUBU,電源開発 新豊根,電源開発新豊根発電所（中部）,3号機,HYBRID_PUMPED,3号機,22.5
CHUBU,電源開発 新豊根,電源開発新豊根発電所（中部）,4号機,HYBRID_PUMPED,4号機,22.5
CHUBU,電源開発 新豊根,電源開発新豊根発電所（中部）,5号機,HYBRID_PUMPED,5号機,22.5
CHUBU,中部電力 馬瀬川第一,馬瀬川第一発電所,１号機,HYBRID_PUMPED,1号機,14.4
CHUBU,中部電力 馬瀬川第一,馬瀬川第一発電所,２号機,HYBRID_PUMPED,2号機,14.4
HOKURIKU,北陸電力 志賀原子力,北陸電力 志賀原子力発電所,1号機,NUCLEAR,1号機,54.0
HOKURIKU,北陸電力 志賀原子力,北陸電力 志賀原子力発電所,2号機,NUCLEAR,2号機,120.6
HOKURIKU,北陸電力 富山新港火力,北陸電力 富山新港火力発電所,石炭1号機,SUB_C,石炭1号機,25.0
HOKURIKU,北陸電力 富山新港火力,北陸電力 富山新港火力発電所,石炭2号機,SUB_C,石炭2号機,25.0
HOKURIKU,北陸電力 富山新港火力,北陸電力 富山新港火力発電所,1号機,OIL,1号機,24.0
HOKURIKU,北陸電力 富山新港火力,北陸電力 富山新港火力発電所,2号機,LNG,2号機,50.0
HOKURIKU,北陸電力 富山新港火力,北陸電力 富山新港火力発電所,LNG1号機,MACC,LNG1号機,42.47
HOKURIKU,北陸電力 七尾大田火力,北陸電力 七尾大田火力発電所,1号機,USC,1号機,50.0
HOKURIKU,北陸電力 七尾大田火力,北陸電力 七尾大田火力発電所,2号機,USC,2号機,70.0
HOKURIKU,北陸電力 敦賀火力,北陸電力 敦賀火力発電所,1号機,SC,1号機,50.0
HOKURIKU,北陸電力 敦賀火力,北陸電力 敦賀火力発電所,2号機,USC,2号機,70.0
HOKURIKU,北陸電力 富山火力,北陸電力 富山火力発電所,4号機,OIL,4号機,25.0
HOKURIKU,北陸電力 福井火力,北陸電力 福井火力発電所,三国1号機,OIL,三国1号機,25.0
HOKURIKU,北陸電力 有峰,北陸電力 有峰第一発電所,単独,HYDRO,第一,26.5
HOKURIKU,北陸電力 有峰,北陸電力 有峰第二発電所,単独,HYDRO,第二,12.3
HOKURIKU,電源開発 手取川第一,電源開発 手取川第一,,HYDRO,,25.0
HOKURIKU,関西電力 下小鳥,下小鳥発電所,単独,HYDRO,,14.2
HOKURIKU,関西電力 音沢,音沢発電所,単独,HYDRO,,12.4
HOKURIKU,電源開発 長野,電源開発 長野発電所（北陸）,1号機,HYBRID_PUMPED,1号機,11.0
HOKURIKU,電源開発 長野,電源開発長野発電所（北陸）,2号機,HYBRID_PUMPED,2号機,11.0
KANSAI,関西電力 高浜,高浜発電所,１号機,NUCLEAR,1号機,82.6
KANSAI,関西電力 高浜,高浜発電所,２号機,NUCLEAR,2号機,82.6
KANSAI,関西電力 高浜,高浜発電所,３号機,NUCLEAR,3号機,82.7
KANSAI,関西電力 高浜,高浜発電所,４号機,NUCLEAR,4号機,82.6
KANSAI,関西電力 大飯,大飯発電所,３号機,NUCLEAR,3号機,118.0
KANSAI,関西電力 大飯,大飯発電所,４号機,NUCLEAR,4号機,119.0
KANSAI,関西電力 美浜,美浜発電所,３号機,NUCLEAR,3号機,82.6
KANSAI,日本原子力発電 敦賀,敦賀発電所2号機,単独,NUCLEAR,2号機,116.0
KANSAI,関西電力 姫路第二,姫路第二発電所,１号機,MACC2,1号機,48.65
KANSAI,関西電力 姫路第二,姫路第二発電所,２号機,MACC2,2号機,48.65
KANSAI,関西電力 姫路第二,姫路第二発電所,３号機,MACC2,3号機,48.65
KANSAI,関西電力 姫路第二,姫路第二発電所,４号機,MACC2,4号機,48.65
KANSAI,関西電力 姫路第二,姫路第二発電所,５号機,MACC2,5号機,48.65
KANSAI,関西電力 姫路第二,姫路第二発電所,６号機,MACC2,6号機,48.65
KANSAI,関西電力 堺港,堺港発電所,１号機,MACC,1号機,40.0
KANSAI,関西電力 堺港,堺港発電所,２号機,MACC,2号機,40.0
KANSAI,関西電力 堺港,堺港発電所,３号機,MACC,3号機,40.0
KANSAI,関西電力 堺港,堺港発電所,４号機,MACC,4号機,40.0
KANSAI,関西電力 堺港,堺港発電所,５号機,MACC,5号機,40.0
KANSAI,関西電力 姫路第一,姫路第一発電所,５号機,ACC,5号機,72.9
KANSAI,関西電力 姫路第一,姫路第一発電所,６号機,ACC,6号機,71.3
KANSAI,泉北天然ガス発電(株) 泉北天然ガス,泉北天然ガス第二発電所,１号機,ACC,1号機,27.7
KANSAI,泉北天然ガス発電(株) 泉北天然ガス,泉北天然ガス第二発電所,２号機,ACC,2号機,27.7
KANSAI,泉北天然ガス発電(株) 泉北天然ガス,泉北天然ガス第一発電所,３号機,ACC,3号機,27.75
KANSAI,泉北天然ガス発電(株) 泉北天然ガス,泉北天然ガス第一発電所,４号機,ACC,4号機,27.75
KANSAI,(株)コベルコパワー神戸 神戸,神戸発電所,１号機,SC,1号機,70.0
KANSAI,(株)コベルコパワー神戸 神戸,神戸発電所,２号機,SC,2号機,70.0
KANSAI,(株)コベルコパワー神戸 神戸,神戸発電所,3号機,USC,3号機,65.0
KANSAI,(株)コベルコパワー神戸 神戸,神戸発電所,4号機,USC,4号機,65.0
KANSAI,関西電力 舞鶴,舞鶴発電所,１号機,USC,1号機,90.0
KANSAI,関西電力 舞鶴,舞鶴発電所,２号機,USC,2号機,90.0
KANSAI,関西電力 南港,南港発電所,１号機,LNG,1号機,60.0
KANSAI,関西電力 南港,南港発電所,２号機,LNG,2号機,60.0
KANSAI,関西電力 南港,南港発電所,３号機,LNG,3号機,60.0
KANSAI,電源開発 高砂火力,電源開発高砂火力発電所,1号機,SUB_C,1号機,25.0
KANSAI,電源開発 高砂火力,電源開発高砂火力発電所,2号機,SUB_C,2号機,25.0
KANSAI,関西電力 御坊,御坊発電所,１号機,OIL,1号機,60.0
KANSAI,関西電力 御坊,御坊発電所,２号機,OIL,2号機,60.0
KANSAI,関西電力 御坊,御坊発電所,３号機,OIL,3号機,60.0
KANSAI,関西電力 赤穂,赤穂発電所,１号機,OIL,1号機,60.0
KANSAI,関西電力 赤穂,赤穂発電所,２号機,OIL,2号機,60.0
KANSAI,相生バイオエナジー(株) 相生バイオマス,相生バイオマス発電所,単独,OTHER,,30.0
KANSAI,中山名古屋共同発電(株) 船町,船町発電所,第１号発電設備,CC,1号機,14.9
KANSAI,Daigasガスアンドパワーソリューション(株) 酉島エネルギーセンター,酉島エネルギーセンター発電所,酉島エネルギーセンター発電所,ACC,,14.0
KANSAI,日本製鉄 広畑,日本製鉄(株) 広畑発電所 第7号発電設備,広畑7号,SUB_C,,13.3
KANSAI,関西電力 奥多々良木,奥多々良木発電所,１号機,PUMPED,1号機,30.3
KANSAI,関西電力 奥多々良木,奥多々良木発電所,２号機,PUMPED,2号機,30.3
KANSAI,関西電力 奥多々良木,奥多々良木発電所,３号機,PUMPED,3号機,30.3
KANSAI,関西電力 奥多々良木,奥多々良木発電所,４号機,PUMPED,4号機,30.3
KANSAI,関西電力 奥多々良木,奥多々良木発電所,５号機,PUMPED,5号機,36.0
KANSAI,関西電力 奥多々良木,奥多々良木発電所,６号機,PUMPED,6号機,36.0
KANSAI,関西電力 大河内,大河内発電所,１号機,PUMPED,1号機,32.0
KANSAI,関西電力 大河内,大河内発電所,２号機,PUMPED,2号機,32.0
KANSAI,関西電力 大河内,大河内発電所,３号機,PUMPED,3号機,32.0
KANSAI,関西電力 大河内,大河内発電所,４号機,PUMPED,4号機,32.0
KANSAI,関西電力 奥吉野,奥吉野発電所,１号機,PUMPED,1号機,20.1
KANSAI,関西電力 奥吉野,奥吉野発電所,２号機,PUMPED,2号機,20.1
KANSAI,関西電力 奥吉野,奥吉野発電所,３号機,PUMPED,3号機,20.1
KANSAI,関西電力 奥吉野,奥吉野発電所,４号機,PUMPED,4号機,20.1
KANSAI,関西電力 奥吉野,奥吉野発電所,５号機,PUMPED,5号機,20.1
KANSAI,関西電力 奥吉野,奥吉野発電所,６号機,PUMPED,6号機,20.1
KANSAI,関西電力 喜撰山,喜撰山発電所,１号機,PUMPED,1号機,23.3
KANSAI,関西電力 喜撰山,喜撰山発電所,２号機,PUMPED,2号機,23.3
KANSAI,電源開発 池原,電源開発池原発電所（関西）,3号機,HYBRID_PUMPED,3号機,10.3
KANSAI,電源開発 池原,電源開発池原発電所（関西）,4号機,HYBRID_PUMPED,4号機,10.3
CHUGOKU,中国電力 島根原子力,島根原子力発電所第２号機,単独,NUCLEAR,2号機,82.0
CHUGOKU,中国電力 柳井1号系列,柳井発電所第１号系列下位,１-１号,CC,1-1号,13.1
CHUGOKU,中国電力 柳井1号系列,柳井発電所第１号系列上位,１-２号,CC,1-2号,13.1
CHUGOKU,中国電力 柳井1号系列,柳井発電所第１号系列上位,１-３号,CC,1-3号,13.1
CHUGOKU,中国電力 柳井1号系列,柳井発電所第１号系列上位,１-４号,CC,1-4号,13.1
CHUGOKU,中国電力 柳井1号系列,柳井発電所第１号系列上位,１-５号,CC,1-5号,13.1
CHUGOKU,中国電力 柳井1号系列,柳井発電所第１号系列上位,１-６号,CC,1-6号,13.1
CHUGOKU,中国電力 柳井2号系列,柳井発電所第２号系列,２-１号,ACC,2-1号,19.8
CHUGOKU,中国電力 柳井2号系列,柳井発電所第２号系列,２-２号,ACC,2-2号,19.8
CHUGOKU,中国電力 柳井2号系列,柳井発電所第２号系列,２-３号,ACC,2-3号,19.8
CHUGOKU,中国電力 柳井2号系列,柳井発電所第２号系列,２-４号,ACC,2-4号,19.8
CHUGOKU,中国電力 水島,水島発電所第１号機,１号機,ACC,1号機,28.5
CHUGOKU,中国電力 水島,水島発電所第３号機,３号機,LNG,3号機,34.0
CHUGOKU,中国電力 三隅,三隅発電所第１号機,１号機,USC,1号機,100.0
CHUGOKU,中国電力 三隅,三隅発電所第２号機,２号機,USC,2号機,100.0
CHUGOKU,電源開発 竹原火力,電源開発竹原火力発電所新１号機,1号機,USC,1号機,60.0
CHUGOKU,電源開発 竹原火力,電源開発竹原火力発電所３号機,3号機,SC,3号機,70.0
CHUGOKU,中国電力 玉島,玉島発電所第１号機,１号機,LNG,1号機,35.0
CHUGOKU,中国電力 玉島,玉島発電所第２号機,２号機,OIL,2号機,35.0
CHUGOKU,中国電力 玉島,玉島発電所第３号機,３号機,OIL,3号機,50.0
CHUGOKU,中国電力 新小野田,新小野田発電所第１号機,１号機,SC,1号機,50.0
CHUGOKU,中国電力 新小野田,新小野田発電所第２号機,２号機,SC,2号機,50.0
CHUGOKU,中国電力 大崎,大崎発電所第１号１軸,単独,SUB_C,,25.9
CHUGOKU,UBE(株) 宇部興産,宇部興産発電所,5号機,SUB_C,5号機,14.5
CHUGOKU,UBE(株) 宇部興産,宇部興産発電所,6号,SUB_C,6号機,21.6
CHUGOKU,周南パワー(株) トクヤマ東,トクヤマ東発電所第3号発電所,単独,SUB_C,,30.0
CHUGOKU,ENEOS 麻里布,麻里布 第２発電所,Ｇ６,OTHER,第2G6,14.9
CHUGOKU,ENEOS 水島製油所,水島製油所　B工場,G8,OTHER,B工場G8,11.24
CHUGOKU,水島エネルギーセンター(株) 水島MZ,水島MZ,単独,SUB_C,,11.2
CHUGOKU,エネルギア・パワー山口(株) 防府バイオマス,防府バイオマス発電所,1号機,SUB_C,1号機,11.2
CHUGOKU,海田バイオマスパワー(株) 海田,海田発電所,単独,OTHER,,11.2
CHUGOKU,中国電力 俣野川,俣野川発電所,１号機,PUMPED,1号機,30.0
CHUGOKU,中国電力 俣野川,俣野川発電所,２号機,PUMPED,2号機,30.0
CHUGOKU,中国電力 俣野川,俣野川発電所,３号機,PUMPED,3号機,30.0
CHUGOKU,中国電力 俣野川,俣野川発電所,４号機,PUMPED,4号機,30.0
CHUGOKU,中国電力 南原,南原発電所,１号機,PUMPED,1号機,31.0
CHUGOKU,中国電力 南原,南原発電所,２号機,PUMPED,2号機,31.0
SHIKOKU,四国電力 伊方,四国電力　伊方発電所,３号機,NUCLEAR,3号機,89.0
SHIKOKU,四国電力 坂出,四国電力　坂出発電所,１号機,ACC,1号機,28.9
SHIKOKU,四国電力 坂出,四国電力　坂出発電所,２号機,ACC,2号機,29.6
SHIKOKU,四国電力 坂出,四国電力　坂出発電所,３号機,OIL,3号機,45.0
SHIKOKU,四国電力 坂出,四国電力　坂出発電所,４号機,LNG,4号機,35.0
SHIKOKU,電源開発 橘湾火力,電源開発橘湾火力発電所,1号機,USC,1号機,105.0
SHIKOKU,電源開発 橘湾火力,電源開発橘湾火力発電所,2号機,USC,2号機,105.0
SHIKOKU,四国電力 阿南,四国電力　阿南発電所,３号機,OIL,3号機,45.0
SHIKOKU,四国電力 阿南,四国電力　阿南発電所,４号機,OIL,4号機,45.0
SHIKOKU,四国電力 西条,四国電力　西条発電所,１号機,SUB_C,1号機,50.0
SHIKOKU,四国電力 西条,四国電力　西条発電所,２号機,SUB_C,2号機,25.0
SHIKOKU,四国電力 橘湾,四国電力　橘湾発電所,単独,USC,,70.0
SHIKOKU,住友共同電力(株) 壬生川火力,壬生川火力発電所,１号機,SUB_C,1号機,25.0
SHIKOKU,土佐発電(株) 土佐,土佐発電所,単独,SUB_C,,16.7
SHIKOKU,住友共同電力(株) 新居浜西火力,新居浜西火力発電所,３号機,SUB_C,3号機,15.0
SHIKOKU,四国電力 本川,四国電力　本川発電所,１号機,PUMPED,1号機,31.5
SHIKOKU,四国電力 本川,四国電力　本川発電所,２号機,PUMPED,2号機,30.0
KYUSHU,九州電力 玄海原子力,玄海原子力発電所,３号機,NUCLEAR,3号機,118.0
KYUSHU,九州電力 玄海原子力,玄海原子力発電所,４号機,NUCLEAR,4号機,118.0
KYUSHU,九州電力 川内原子力,川内原子力発電所,１号機,NUCLEAR,1号機,89.0
KYUSHU,九州電力 川内原子力,川内原子力発電所,２号機,NUCLEAR,2号機,89.0
KYUSHU,九州電力 新大分1号系列,新大分発電所,１号系列第１軸,CC,1-1軸,12.0
KYUSHU,九州電力 新大分1号系列,新大分発電所,１号系列第２軸,CC,1-2軸,12.0
KYUSHU,九州電力 新大分1号系列,新大分発電所,１号系列第３軸,CC,1-3軸,12.0
KYUSHU,九州電力 新大分1号系列,新大分発電所,１号系列第４軸,CC,1-4軸,12.0
KYUSHU,九州電力 新大分1号系列,新大分発電所,１号系列第５軸,CC,1-5軸,12.0
KYUSHU,九州電力 新大分1号系列,新大分発電所,１号系列第６軸,CC,1-6軸,12.0
KYUSHU,九州電力 新大分2号系列3号系列,新大分発電所,２号系列第１軸,ACC,2-1軸,23.0
KYUSHU,九州電力 新大分2号系列3号系列,新大分発電所,２号系列第２軸,ACC,2-2軸,23.0
KYUSHU,九州電力 新大分2号系列3号系列,新大分発電所,２号系列第３軸,ACC,2-3軸,23.0
KYUSHU,九州電力 新大分2号系列3号系列,新大分発電所,２号系列第４軸,ACC,2-4軸,23.0
KYUSHU,九州電力 新大分2号系列3号系列,新大分発電所,３号系列第１軸,ACC,3-1軸,24.5
KYUSHU,九州電力 新大分2号系列3号系列,新大分発電所,３号系列第２軸,ACC,3-2軸,24.5
KYUSHU,九州電力 新大分2号系列3号系列,新大分発電所,３号系列第３軸,ACC,3-3軸,24.5
KYUSHU,九州電力 新大分2号系列3号系列,新大分発電所,３号系列第４軸,MACC2,3-4軸,50.0
KYUSHU,九州電力 新小倉,新小倉発電所,３号機,LNG,3号機,60.0
KYUSHU,九州電力 新小倉,新小倉発電所,５号機,LNG,5号機,60.0
KYUSHU,電源開発 松浦火力,電源開発松浦火力発電所,1号機,SC,1号機,100.0
KYUSHU,電源開発 松浦火力,電源開発松浦火力発電所,2号機,USC,2号機,100.0
KYUSHU,電源開発 松島火力,電源開発松島火力発電所,1号機,SC,1号機,50.0
KYUSHU,電源開発 松島火力,電源開発松島火力発電所,2号機,SC,2号機,50.0
KYUSHU,九州電力 松浦,松浦発電所,１号機,SC,1号機,100.0
KYUSHU,九州電力 松浦,松浦発電所,２号機,USC,2号機,70.0
KYUSHU,九州電力 苓北,苓北発電所,１号機,SC,1号機,70.0
KYUSHU,九州電力 苓北,苓北発電所,２号機,USC,2号機,70.0
KYUSHU,九州電力 豊前,豊前発電所,２号機,OIL,2号機,50.0
KYUSHU,九州電力 苅田,苅田発電所,新１号機,USC,新1号機,36.0
KYUSHU,日本製鉄 大分製鐵,日本製鉄（株） 大分製鐵発電所 第9号発電設備,大分製鐵9号,SUB_C,,33.0
KYUSHU,(株)三池火力発電所 三池,三池発電所,1,SUB_C,,17.5
KYUSHU,ENEOS 大分,大分 第２発電所,単独,OTHER,,14.94
KYUSHU,響灘エネルギーパーク合同会社 ひびき灘石炭・バイオマス,ひびき灘石炭・バイオマス発電所,単独,SUB_C,,11.2
KYUSHU,(株)響灘火力発電所 響灘火力,響灘火力発電所,1号機,SUB_C,1号機,11.2
KYUSHU,九州電力 小丸川,小丸川発電所,１号機,PUMPED,1号機,30.0
KYUSHU,九州電力 小丸川,小丸川発電所,２号機,PUMPED,2号機,30.0
KYUSHU,九州電力 小丸川,小丸川発電所,３号機,PUMPED,3号機,30.0
KYUSHU,九州電力 小丸川,小丸川発電所,４号機,PUMPED,4号機,30.0
KYUSHU,九州電力 天山,天山発電所,１号機,PUMPED,1号機,30.0
KYUSHU,九州電力 天山,天山発電所,２号機,PUMPED,2号機,30.0
KYUSHU,九州電力 大平,大平発電所,１号機,PUMPED,1号機,25.0
KYUSHU,九州電力 大平,大平発電所,２号機,PUMPED,2号機,25.0
OKINAWA,沖縄電力 吉の浦,吉の浦1号,1号機,ACC,1号機,25.1
OKINAWA,沖縄電力 吉の浦,吉の浦2号,2号機,ACC,2号機,25.1
OKINAWA,沖縄電力 金武,金武1号,1号機,SUB_C,1号機,22.0
OKINAWA,沖縄電力 金武,金武2号,2号機,SUB_C,2号機,22.0
OKINAWA,沖縄電力 具志川,具志川1号,1号機,SUB_C,1号機,15.6
OKINAWA,沖縄電力 具志川,具志川2号,2号機,SUB_C,2号機,15.6
OKINAWA,電源開発 石川石炭火力,石川石炭火力発電所１号機,1号機,SUB_C,1号機,15.6
OKINAWA,電源開発 石川石炭火力,石川石炭火力発電所２号機,2号機,SUB_C,2号機,15.6
OKINAWA,沖縄電力 石川,石川1号,1号機,OIL,1号機,12.5
OKINAWA,沖縄電力 石川,石川2号,2号機,OIL,2号機,12.5
OKINAWA,沖縄電力 石川,石川GT1号,GT1号機,OIL,GT1号機,10.3
OKINAWA,沖縄電力 牧港,牧港9号,9号機,OIL,9号機,12.5
OKINAWA,沖縄電力 牧港,牧港GT2号,GT2号機,OIL,GT2号機,10.3
